,prec_point,swq,tmean_point,tmax_point,tmin_point,prec_ref,swe,tmean_ref,tmax_ref,tmin_ref
1994-10-01,0.08760845858019561,0.0,5.844710416666666,8.32189,1.51605,0.0,0.0,7.683333333333333,9.972222222222225,2.5333333333333345
1994-10-02,9.447257857422e-06,0.0,3.2640177833333337,9.794080000000001,-1.59085,0.0,0.0,4.249999999999999,7.683333333333333,0.8166666666666659
1994-10-03,0.0,0.0,4.552358083333333,11.2714,-1.10904,0.0,0.0,7.111111111111111,15.122222222222224,1.961111111111112
1994-10-04,0.0,0.0,8.082585000000002,15.5213,2.4306200000000002,0.0,0.0,8.827777777777778,16.266666666666666,4.822222222222221
1994-10-05,0.0048829544871877,0.0,6.4326791666666665,12.255,2.64974,0.0,0.0,5.966666666666668,12.833333333333336,2.5333333333333345
1994-10-06,0.0035202572391268587,0.0,3.0844189166666673,8.17021,0.20596,0.0,0.0,4.822222222222221,7.683333333333333,2.5333333333333345
1994-10-07,6.4620901037e-06,0.0,5.937698999999999,12.3147,0.11560699999999999,0.0,0.0,7.111111111111111,16.266666666666666,1.961111111111112
1994-10-08,2.45075329191e-07,0.0,9.130328333333333,15.3728,5.05825,0.0,0.0,11.116666666666665,21.416666666666668,7.683333333333333
1994-10-09,0.085964492877494,0.0,4.6251625,7.2449,1.03026,0.0,0.0,9.972222222222225,16.266666666666666,5.966666666666668
1994-10-10,0.03792147665593279,5.812109437750001e-05,1.9383232083333335,4.636909999999999,0.29192399999999996,0.1,0.0,3.677777777777776,5.966666666666668,1.961111111111112
1994-10-11,0.004612323137267322,0.0007063287934908334,0.2624193958333334,3.24811,-1.9412,0.2,0.0,1.961111111111112,4.822222222222221,0.2444444444444432
1994-10-12,4.822443549e-07,0.0,1.0895543291666665,6.54105,-2.38061,0.0,0.0,3.1055555555555574,11.116666666666665,0.2444444444444432
1994-10-13,0.383676916634242,0.0013955142050208333,1.4736799166666668,5.97274,-2.4961900000000004,0.0,0.0,2.5333333333333345,8.255555555555555,-0.3277777777777777
1994-10-14,0.7766354678081231,0.22476401572945834,-0.5170567599999999,1.6029799999999998,-1.97822,1.7,0.0,1.3888888888888888,2.5333333333333345,0.2444444444444432
1994-10-15,0.01730553052935152,0.2220201822267917,0.14246321666666673,4.68574,-2.96683,0.0,0.0,1.3888888888888888,4.822222222222221,-0.3277777777777777
1994-10-16,0.0,0.06723052022834583,3.4391805250000007,9.09915,-0.232185,0.1,0.0,3.677777777777776,12.833333333333336,-0.3277777777777777
1994-10-17,0.014937869546760156,3.781432816250834e-05,0.7821623874999998,2.42378,-1.27558,0.0,0.0,3.1055555555555574,4.822222222222221,1.961111111111112
1994-10-18,0.0001844069872175146,6.0534579932749995e-05,-0.09839200416666653,4.302,-3.24191,0.0,0.0,3.677777777777776,9.4,1.961111111111112
1994-10-19,0.23046771098792979,0.015021777444104522,-0.9743248916666664,2.12102,-3.05389,0.2,0.0,2.5333333333333345,3.1055555555555574,0.8166666666666659
1994-10-20,1.21454028183565,0.1157395638116667,0.8665924291666668,2.9064,-0.660367,3.1,0.0,3.677777777777776,5.394444444444446,1.3888888888888888
1994-10-21,0.5886988257712099,0.15778651893170828,-0.14204081666666668,2.2951799999999998,-1.6988299999999998,0.4,0.0,1.961111111111112,3.1055555555555574,0.8166666666666659
1994-10-22,0.06280705495268113,0.16142890935004167,-0.5820847375000001,3.59025,-3.7346199999999996,0.3,0.0,1.961111111111112,5.394444444444446,-0.9000000000000006
1994-10-23,0.04665180484826025,0.0663236627832625,2.421158472916667,7.5684,-0.728107,0.0,0.0,3.677777777777776,8.827777777777778,1.3888888888888888
1994-10-24,1.14189255362952e-05,0.0,4.887070416666667,9.75389,1.84811,0.3,0.0,7.111111111111111,16.266666666666666,2.5333333333333345
1994-10-25,0.29530039041775463,0.0,5.952115,11.9007,2.22791,0.6,0.3,8.255555555555555,17.983333333333334,5.394444444444446
1994-10-26,2.2219118612490805,0.0,4.292685416666667,5.38943,2.31124,2.6,0.6,4.822222222222221,7.111111111111111,2.5333333333333345
1994-10-27,0.52163556514762,0.03006825606624583,0.8327433750000002,2.54215,-2.43771,2.4,0.5,1.3888888888888888,3.1055555555555574,-0.9000000000000006
1994-10-28,0.360406629658845,0.23737260193441662,-2.2132230833333333,-0.572025,-3.5451300000000003,1.4,0.5,-0.9000000000000006,0.2444444444444432,-0.9000000000000006
1994-10-29,0.00888227304406265,0.38769428743879164,-2.874482824583333,0.472612,-5.23185,0.0,1.6,-0.3277777777777777,4.822222222222221,-1.4722222222222214
1994-10-30,0.387293341028055,0.5719409256458334,-2.8358709166666665,-0.528878,-4.30844,0.7,1.5,-0.9000000000000006,0.2444444444444432,-1.4722222222222214
1994-10-31,0.9856347951165176,0.7642151436470833,-0.33367933333333316,3.24543,-3.4290599999999998,2.7,1.9,1.3888888888888888,4.822222222222221,-2.0444444444444443
1994-11-01,1.05516139262149,1.4604354999208329,-4.342550416666667,-3.0442299999999998,-5.26398,2.7,3.2,-2.6166666666666667,-2.0444444444444443,-3.188888888888888
