,prec_point,swq,tmean_point,tmax_point,tmin_point,prec_ref,swe,tmean_ref,tmax_ref,tmin_ref
1995-10-01,0.02455662252041152,0.0,4.902032916666666,10.2059,1.51237,0.2,0.0,5.966666666666668,9.4,3.1055555555555574
1995-10-02,0.6603181723196521,0.0,5.227458333333334,6.30646,4.18936,2.1,0.0,7.683333333333333,9.972222222222223,4.249999999999999
1995-10-03,0.418824471046982,0.0,3.389545,5.74191,2.16144,1.6,0.0,3.677777777777776,6.5388888888888905,2.5333333333333345
1995-10-04,0.0029683893194647998,0.0,4.0693525,8.58719,1.66478,0.3,0.0,4.822222222222222,9.972222222222223,2.5333333333333345
1995-10-05,0.0423510077907917,0.0,7.275799583333334,10.8246,4.66927,0.0,0.0,8.255555555555555,13.405555555555557,5.394444444444445
1995-10-06,0.8633094787065518,0.0,3.374143333333333,6.11022,1.84426,0.5,0.0,4.822222222222222,8.255555555555555,3.677777777777776
1995-10-07,0.03637145789845068,0.0,4.488576666666667,7.30127,2.6501,0.2,0.0,5.394444444444445,8.255555555555555,3.677777777777776
1995-10-08,1.117225752514179,0.0,3.4548916666666667,4.50062,2.66703,0.5,0.0,4.822222222222222,5.966666666666668,3.1055555555555574
1995-10-09,0.34731063637047704,0.0,3.5617441666666667,5.20707,2.00499,1.2,0.0,4.249999999999999,5.966666666666668,3.1055555555555574
1995-10-10,3.088202061329,0.0,5.797397916666667,6.84511,4.0476,3.6,0.0,5.394444444444445,7.683333333333333,1.961111111111112
1995-10-11,1.7125645901387099,0.0,2.42679875,3.86787,1.22564,0.8,0.0,2.5333333333333345,4.822222222222222,1.3888888888888888
1995-10-12,0.11116903945998906,0.0,1.9974415833333332,4.70642,-0.136769,0.4,0.0,2.5333333333333345,4.822222222222222,0.816666666666666
1995-10-13,0.0013349364767708202,0.0,5.1149338958333335,9.77481,-0.0425865,0.1,0.0,6.5388888888888905,11.116666666666664,1.961111111111112
1995-10-14,0.0025573802235042595,0.0,9.742323333333333,15.3906,5.11128,0.5,0.0,12.261111111111113,20.272222222222226,8.827777777777778
1995-10-15,0.9831048883172978,0.0,10.42506125,16.7275,5.58065,0.7,0.0,11.688888888888888,18.55555555555556,5.966666666666668
1995-10-16,0.7411832388214099,0.0,5.1831425,6.43462,3.97089,1.7,0.0,5.394444444444445,6.5388888888888905,4.249999999999999
1995-10-17,4.26108892697103,0.0,3.854212083333333,4.97812,1.75119,1.2,0.0,4.249999999999999,7.11111111111111,1.3888888888888888
1995-10-18,0.009125510565568321,0.0,1.3554045666666665,3.66598,-0.0806996,0.0,0.0,3.677777777777776,7.683333333333333,1.3888888888888888
1995-10-19,0.0043238796577284005,0.0,5.545570833333334,9.29209,1.932,0.0,0.0,9.4,12.261111111111113,6.5388888888888905
1995-10-20,1.4047312616206136,0.0,2.958893291666667,7.1866,0.591055,0.6,0.0,4.822222222222222,11.116666666666664,2.5333333333333345
1995-10-21,0.36644872395307027,0.12408633948034041,-0.15485673333333333,1.50654,-2.43721,0.8,0.0,0.816666666666666,2.5333333333333345,-0.9000000000000006
1995-10-22,6.13623166002e-05,0.05542534324987917,1.22874325,5.72851,-2.46272,0.0,0.0,1.961111111111112,5.966666666666668,-0.9000000000000006
1995-10-23,0.12905790130540232,0.0036991752259,1.9953463779166667,5.74882,-0.128468,0.3,0.0,4.822222222222222,8.827777777777778,1.3888888888888888
1995-10-24,0.01598067582207997,0.0116172257614875,0.1288591125,2.01887,-1.54788,0.0,0.0,1.961111111111112,4.249999999999999,0.816666666666666
1995-10-25,1.100957437823782,0.0014605395518142918,2.3247682375000003,6.00515,-0.792829,1.8,0.0,3.1055555555555574,5.966666666666668,1.3888888888888888
1995-10-26,0.4512465159170815,0.00015663935623874998,1.5484569583333334,3.79649,-0.296449,0.8,0.0,1.961111111111112,3.1055555555555574,0.2444444444444432
1995-10-27,0.013657796088985435,0.001126087173047375,-1.3305651833333334,0.152228,-3.51761,0.1,0.0,0.816666666666666,3.677777777777776,-0.9000000000000006
1995-10-28,0.0,0.007434131311016667,-0.7683070416666666,4.09939,-3.33117,0.0,0.0,0.816666666666666,3.677777777777776,-1.4722222222222214
1995-10-29,0.0,0.004074794687264583,-1.4771471250000001,3.68809,-4.63511,0.0,0.0,1.3888888888888888,5.966666666666668,-1.4722222222222214
1995-10-30,0.0,0.0,-1.7221195,4.04052,-4.51813,0.0,0.0,0.2444444444444432,4.822222222222222,-2.0444444444444443
