DateTime, Max, Min, Avg, Total
10/1/1979,0,0,0,0
10/2/1979,0,0,0,0
10/3/1979,0,0,0,0
10/4/1979,0,0,0,0
10/5/1979,0,0,0,0
10/6/1979,0,0,0,0
10/7/1979,0,0,0,0
10/8/1979,0,0,0,0
10/9/1979,0,0,0,0
10/10/1979,0,0,0,0
10/11/1979,0,0,0,0
10/12/1979,0,0,0,0
10/13/1979,0,0,0,0
10/14/1979,0.031,0,0.007,0.159
10/15/1979,0.141,0,0.029,0.704
10/16/1979,0.173,0,0.015,0.361
10/17/1979,0.251,0,0.026,0.627
10/18/1979,0.031,0,0.005,0.111
10/19/1979,0.361,0,0.063,1.509
10/20/1979,0.251,0,0.026,0.628
10/21/1979,0.016,0,0.003,0.064
10/22/1979,0,0,0,0
10/23/1979,0.173,0,0.054,1.288
10/24/1979,0,0,0,0
10/25/1979,0.22,0,0.033,0.801
10/26/1979,0.094,0,0.009,0.22
10/27/1979,0.22,0,0.045,1.069
10/28/1979,0.566,0.016,0.085,2.032
10/29/1979,0.016,0,0.005,0.128
10/30/1979,0.047,0,0.011,0.252
10/31/1979,0,0,0,0
11/1/1979,0,0,0,0
11/2/1979,0,0,0,0
11/3/1979,0.251,0,0.026,0.628
11/4/1979,0,0,0,0
11/5/1979,0.031,0,0.005,0.125
11/6/1979,0,0,0,0
11/7/1979,0,0,0,0
11/8/1979,0,0,0,0
11/9/1979,0,0,0,0
11/10/1979,0,0,0,0
11/11/1979,0,0,0,0
11/12/1979,0,0,0,0
11/13/1979,0,0,0,0
11/14/1979,0,0,0,0
11/15/1979,0,0,0,0
11/16/1979,0.016,0,0.001,0.016
11/17/1979,0.298,0,0.033,0.785
11/18/1979,0.141,0,0.041,0.991
11/19/1979,0.047,0,0.007,0.172
11/20/1979,0.016,0,0.002,0.048
11/21/1979,0,0,0,0
11/22/1979,0.047,0,0.008,0.19
11/23/1979,0.314,0,0.048,1.147
11/24/1979,0.047,0,0.007,0.174
11/25/1979,0.33,0,0.029,0.706
11/26/1979,0.126,0,0.031,0.739
11/27/1979,0,0,0,0
11/28/1979,0,0,0,0
11/29/1979,0,0,0,0
11/30/1979,0.063,0,0.014,0.331
12/1/1979,0,0,0,0
12/2/1979,0.518,0,0.099,2.387
12/3/1979,0.016,0,0.002,0.048
12/4/1979,0.236,0,0.069,1.667
12/5/1979,0.236,0,0.077,1.841
12/6/1979,0.11,0,0.023,0.55
12/7/1979,0.283,0,0.074,1.779
12/8/1979,0.016,0,0.002,0.048
12/9/1979,0.298,0,0.024,0.581
12/10/1979,0.251,0,0.106,2.546
12/11/1979,0.031,0,0.002,0.047
12/12/1979,0.424,0,0.054,1.303
12/13/1979,0.157,0,0.022,0.519
12/14/1979,0.377,0,0.1,2.4
12/15/1979,0.346,0.047,0.178,4.277
12/16/1979,0.173,0,0.018,0.425
12/17/1979,0.204,0,0.066,1.572
12/18/1979,0.55,0,0.117,2.801
12/19/1979,0.361,0,0.063,1.509
12/20/1979,0.11,0,0.037,0.894
12/21/1979,0.157,0,0.035,0.847
12/22/1979,0.189,0,0.058,1.399
12/23/1979,0.094,0,0.023,0.55
12/24/1979,0.031,0,0.005,0.11
12/25/1979,0.079,0,0.007,0.157
12/26/1979,0.11,0,0.023,0.55
12/27/1979,0.031,0,0.005,0.125
12/28/1979,0,0,0,0
12/29/1979,0,0,0,0
12/30/1979,0,0,0,0
12/31/1979,0.126,0,0.013,0.315
1/1/1980,0.157,0,0.065,1.558
1/2/1980,0.031,0,0.007,0.159
1/3/1980,0.22,0,0.05,1.21
1/4/1980,0.016,0,0.003,0.064
1/5/1980,0.22,0,0.018,0.424
1/6/1980,0.063,0,0.008,0.19
1/7/1980,0,0,0,0
1/8/1980,0.063,0,0.008,0.188
1/9/1980,0.141,0,0.014,0.345
1/10/1980,0.236,0,0.066,1.572
