DateTime	 Max	 Min	 Avg	 Total
10/1/79	0	0	0	0
10/2/79	0	0	0	0
10/3/79	0	0	0	0
10/4/79	0	0	0	0
10/5/79	0	0	0	0
10/6/79	0	0	0	0
10/7/79	0	0	0	0
10/8/79	0	0	0	0
10/9/79	0	0	0	0
10/10/79	0	0	0	0
10/11/79	0	0	0	0
10/12/79	0	0	0	0
10/13/79	0	0	0	0
10/14/79	0.031	0	0.007	0.159
10/15/79	0.141	0	0.029	0.704
10/16/79	0.173	0	0.015	0.361
10/17/79	0.251	0	0.026	0.627
10/18/79	0.031	0	0.005	0.111
10/19/79	0.361	0	0.063	1.509
10/20/79	0.251	0	0.026	0.628
10/21/79	0.016	0	0.003	0.064
10/22/79	0	0	0	0
10/23/79	0.173	0	0.054	1.288
10/24/79	0	0	0	0
10/25/79	0.22	0	0.033	0.801
10/26/79	0.094	0	0.009	0.22
10/27/79	0.22	0	0.045	1.069
10/28/79	0.566	0.016	0.085	2.032
10/29/79	0.016	0	0.005	0.128
10/30/79	0.047	0	0.011	0.252
10/31/79	0	0	0	0
11/1/79	0	0	0	0
11/2/79	0	0	0	0
11/3/79	0.251	0	0.026	0.628
11/4/79	0	0	0	0
11/5/79	0.031	0	0.005	0.125
11/6/79	0	0	0	0
11/7/79	0	0	0	0
11/8/79	0	0	0	0
11/9/79	0	0	0	0
11/10/79	0	0	0	0
11/11/79	0	0	0	0
11/12/79	0	0	0	0
11/13/79	0	0	0	0
11/14/79	0	0	0	0
11/15/79	0	0	0	0
11/16/79	0.016	0	0.001	0.016
11/17/79	0.298	0	0.033	0.785
11/18/79	0.141	0	0.041	0.991
11/19/79	0.047	0	0.007	0.172
11/20/79	0.016	0	0.002	0.048
11/21/79	0	0	0	0
11/22/79	0.047	0	0.008	0.19
11/23/79	0.314	0	0.048	1.147
11/24/79	0.047	0	0.007	0.174
11/25/79	0.33	0	0.029	0.706
11/26/79	0.126	0	0.031	0.739
11/27/79	0	0	0	0
11/28/79	0	0	0	0
11/29/79	0	0	0	0
