DateTime, Max, Min, Avg, Total
10/1/1979,0,0,0,0
10/2/1979,0,0,0,0
10/3/1979,0,0,0,0
10/4/1979,0,0,0,0
10/5/1979,0,0,0,0
10/6/1979,0,0,0,0
10/7/1979,0,0,0,0
10/8/1979,0,0,0,0
10/9/1979,0,0,0,0
10/10/1979,0,0,0,0
10/11/1979,0,0,0,0
10/12/1979,0,0,0,0
10/13/1979,0,0,0,0
10/14/1979,0.029,0,0.006,0.141
10/15/1979,0.129,0,0.027,0.646
10/16/1979,0.157,0,0.014,0.329
10/17/1979,0.229,0,0.024,0.574
10/18/1979,0.029,0,0.004,0.099
10/19/1979,0.329,0,0.057,1.373
10/20/1979,0.229,0,0.024,0.572
10/21/1979,0.014,0,0.002,0.056
10/22/1979,0,0,0,0
10/23/1979,0.157,0,0.049,1.174
10/24/1979,0,0,0,0
10/25/1979,0.2,0,0.03,0.73
10/26/1979,0.086,0,0.008,0.2
10/27/1979,0.2,0,0.041,0.973
10/28/1979,0.515,0.014,0.077,1.842
10/29/1979,0.014,0,0.005,0.112
10/30/1979,0.043,0,0.01,0.228
10/31/1979,0,0,0,0
11/1/1979,0,0,0,0
11/2/1979,0,0,0,0
11/3/1979,0.229,0,0.024,0.572
11/4/1979,0,0,0,0
11/5/1979,0.029,0,0.005,0.115
11/6/1979,0,0,0,0
11/7/1979,0,0,0,0
11/8/1979,0,0,0,0
11/9/1979,0,0,0,0
11/10/1979,0,0,0,0
11/11/1979,0,0,0,0
11/12/1979,0,0,0,0
11/13/1979,0,0,0,0
11/14/1979,0,0,0,0
11/15/1979,0,0,0,0
11/16/1979,0.014,0,0.001,0.014
11/17/1979,0.272,0,0.03,0.716
11/18/1979,0.129,0,0.038,0.901
11/19/1979,0.043,0,0.007,0.158
11/20/1979,0.014,0,0.002,0.042
11/21/1979,0,0,0,0
11/22/1979,0.043,0,0.007,0.17
11/23/1979,0.286,0,0.044,1.045
11/24/1979,0.043,0,0.007,0.156
11/25/1979,0.3,0,0.027,0.644
11/26/1979,0.114,0,0.028,0.671
11/27/1979,0,0,0,0
11/28/1979,0,0,0,0
11/29/1979,0,0,0,0
11/30/1979,0.057,0,0.012,0.299
12/1/1979,0,0,0,0
12/2/1979,0.472,0,0.091,2.173
12/3/1979,0.014,0,0.002,0.042
12/4/1979,0.215,0,0.063,1.518
12/5/1979,0.215,0,0.07,1.675
12/6/1979,0.1,0,0.021,0.5
12/7/1979,0.257,0,0.067,1.615
12/8/1979,0.014,0,0.002,0.042
12/9/1979,0.272,0,0.022,0.529
12/10/1979,0.229,0,0.097,2.321
12/11/1979,0.029,0,0.002,0.043
12/12/1979,0.386,0,0.05,1.189
12/13/1979,0.143,0,0.02,0.473
12/14/1979,0.343,0,0.091,2.192
12/15/1979,0.315,0.043,0.162,3.886
12/16/1979,0.157,0,0.016,0.386
12/17/1979,0.186,0,0.06,1.429
12/18/1979,0.501,0,0.106,2.55
12/19/1979,0.329,0,0.057,1.373
12/20/1979,0.1,0,0.034,0.816
12/21/1979,0.143,0,0.032,0.774
12/22/1979,0.172,0,0.053,1.275
12/23/1979,0.086,0,0.021,0.501
12/24/1979,0.029,0,0.004,0.1
12/25/1979,0.072,0,0.006,0.144
12/26/1979,0.1,0,0.021,0.5
12/27/1979,0.029,0,0.005,0.115
12/28/1979,0,0,0,0
12/29/1979,0,0,0,0
12/30/1979,0,0,0,0
12/31/1979,0.114,0,0.012,0.286
1/1/1980,0.143,0,0.059,1.416
1/2/1980,0.029,0,0.006,0.141
1/3/1980,0.2,0,0.046,1.103
1/4/1980,0.014,0,0.002,0.056
1/5/1980,0.2,0,0.016,0.386
1/6/1980,0.057,0,0.007,0.17
1/7/1980,0,0,0,0
1/8/1980,0.057,0,0.007,0.172
1/9/1980,0.129,0,0.013,0.315
1/10/1980,0.215,0,0.06,1.429
