DateTime, Max, Min, Avg, Total
10/1/1979,0,0,0,0
10/2/1979,0,0,0,0
10/3/1979,0,0,0,0
10/4/1979,0,0,0,0
10/5/1979,0,0,0,0
10/6/1979,0,0,0,0
10/7/1979,0,0,0,0
10/8/1979,0,0,0,0
10/9/1979,0,0,0,0
10/10/1979,0,0,0,0
10/11/1979,0,0,0,0
10/12/1979,0,0,0,0
10/13/1979,0,0,0,0
10/14/1979,0.02,0,0.004,0.1
10/15/1979,0.09,0,0.019,0.45
10/16/1979,0.11,0,0.01,0.23
10/17/1979,0.16,0,0.017,0.4
10/18/1979,0.02,0,0.003,0.07
10/19/1979,0.23,0,0.04,0.96
10/20/1979,0.16,0,0.017,0.4
10/21/1979,0.01,0,0.002,0.04
10/22/1979,0,0,0,0
10/23/1979,0.11,0,0.034,0.82
10/24/1979,0,0,0,0
10/25/1979,0.14,0,0.021,0.51
10/26/1979,0.06,0,0.006,0.14
10/27/1979,0.14,0,0.028,0.68
10/28/1979,0.36,0.01,0.054,1.29
10/29/1979,0.01,0,0.003,0.08
10/30/1979,0.03,0,0.007,0.16
10/31/1979,0,0,0,0
11/1/1979,0,0,0,0
11/2/1979,0,0,0,0
11/3/1979,0.16,0,0.017,0.4
11/4/1979,0,0,0,0
11/5/1979,0.02,0,0.003,0.08
11/6/1979,0,0,0,0
11/7/1979,0,0,0,0
11/8/1979,0,0,0,0
11/9/1979,0,0,0,0
11/10/1979,0,0,0,0
11/11/1979,0,0,0,0
11/12/1979,0,0,0,0
11/13/1979,0,0,0,0
11/14/1979,0,0,0,0
11/15/1979,0,0,0,0
11/16/1979,0.01,0,0,0.01
11/17/1979,0.19,0,0.021,0.5
11/18/1979,0.09,0,0.026,0.63
11/19/1979,0.03,0,0.005,0.11
11/20/1979,0.01,0,0.001,0.03
11/21/1979,0,0,0,0
11/22/1979,0.03,0,0.005,0.12
11/23/1979,0.2,0,0.03,0.73
11/24/1979,0.03,0,0.005,0.11
11/25/1979,0.21,0,0.019,0.45
11/26/1979,0.08,0,0.02,0.47
11/27/1979,0,0,0,0
11/28/1979,0,0,0,0
11/29/1979,0,0,0,0
11/30/1979,0.04,0,0.009,0.21
12/1/1979,0,0,0,0
12/2/1979,0.33,0,0.063,1.52
12/3/1979,0.01,0,0.001,0.03
12/4/1979,0.15,0,0.044,1.06
12/5/1979,0.15,0,0.049,1.17
12/6/1979,0.07,0,0.015,0.35
12/7/1979,0.18,0,0.047,1.13
12/8/1979,0.01,0,0.001,0.03
12/9/1979,0.19,0,0.015,0.37
12/10/1979,0.16,0,0.068,1.62
12/11/1979,0.02,0,0.001,0.03
12/12/1979,0.27,0,0.035,0.83
12/13/1979,0.1,0,0.014,0.33
12/14/1979,0.24,0,0.064,1.53
12/15/1979,0.22,0.03,0.113,2.72
12/16/1979,0.11,0,0.011,0.27
12/17/1979,0.13,0,0.042,1
12/18/1979,0.35,0,0.074,1.78
12/19/1979,0.23,0,0.04,0.96
12/20/1979,0.07,0,0.024,0.57
12/21/1979,0.1,0,0.023,0.54
12/22/1979,0.12,0,0.037,0.89
12/23/1979,0.06,0,0.015,0.35
12/24/1979,0.02,0,0.003,0.07
12/25/1979,0.05,0,0.004,0.1
12/26/1979,0.07,0,0.015,0.35
12/27/1979,0.02,0,0.003,0.08
12/28/1979,0,0,0,0
12/29/1979,0,0,0,0
12/30/1979,0,0,0,0
12/31/1979,0.08,0,0.008,0.2
1/1/1980,0.1,0,0.041,0.99
1/2/1980,0.02,0,0.004,0.1
1/3/1980,0.14,0,0.032,0.77
1/4/1980,0.01,0,0.002,0.04
1/5/1980,0.14,0,0.011,0.27
1/6/1980,0.04,0,0.005,0.12
1/7/1980,0,0,0,0
1/8/1980,0.04,0,0.005,0.12
1/9/1980,0.09,0,0.009,0.22
1/10/1980,0.15,0,0.042,1
1/11/1980,0.01,0,0,0.01
