,year,no_peaks,max_peak
0,1968,5,372
1,1969,3,335
2,1970,2,958
3,1971,4,738
4,1972,4,856
5,1973,3,475
6,1974,3,986
7,1975,2,595
8,1976,7,938
9,1977,1,349
10,1978,3,672
11,1979,1,409
12,1980,2,383
13,1981,3,767
14,1982,3,687
15,1983,3,472
16,1984,3,773
17,1985,1,935
18,1986,3,787
19,1987,3,911
20,1988,3,434
21,1989,5,475
22,1990,2,1032
23,1991,4,1173
24,1992,2,671
25,1993,3,632
26,1994,3,626
27,1995,4,387
28,1996,6,647
29,1997,4,956
30,1998,3,549
31,1999,2,523
32,2000,2,935
33,2001,1,202
34,2002,4,767
35,2003,3,492
36,2004,3,765
37,2005,3,869
38,2006,2,876
39,2007,3,1023
40,2008,2,143
41,2009,2,667
42,2010,2,857
43,2011,3,681
44,2012,6,498
45,2013,5,861
46,2014,4,566
47,2015,4,789
48,2016,3,1006
49,2017,3,906
50,2018,4,598
51,2019,4,435
52,2020,4,706
53,2021,4,749
54,2022,5,542
