ENSO,year,maxswe,max_swe_date,SWE_at_SP_melt,SP_melt_start_date,SP_melt_end_date,melt rate,melt duration,n_mwme,precip_total,min_discharge_date,min_discharge,max_discharge_date,max_discharge,zero_SWE_date,max_SWE_date,mindate_meanwtemp,minval_meanwtemp,maxdate_meanwtemp,maxval_meanwtemp,TDJF
normal,1997,46.8,14-Apr,41.9,2-May,1-Jun,1.56,30,2,184.9,9/9/97 0:00,2.2,3/19/97 0:00,347,6/1/97 0:00,4/14/97 0:00,12/26/96 0:00,0.1,8/14/97 0:00,14.1,-0.18
warm,1998,27.4,11-Mar,23.6,15-Apr,5-May,1.37,20,3,107.5,9/14/98 0:00,2.2,12/16/97 0:00,359,5/5/98 0:00,3/11/98 0:00,1/11/98 0:00,-0.2,7/28/98 0:00,16,-1.38
cold,1999,53.2,10-Apr,46,6-May,17-Jun,1.27,42,2,147.1,10/4/99 0:00,3.1,12/29/98 0:00,1020,6/17/99 0:00,4/10/99 0:00,12/20/98 0:00,0,8/5/99 0:00,12.6,0.055
cold,2000,42,31-Mar,42,31-Mar,28-May,0.72,58,1,151.1,9/5/00 0:00,4.7,12/15/99 0:00,1000,5/29/00 0:00,3/29/00 0:00,1/30/00 0:00,0.7,8/5/00 0:00,14.1,0.11
cold,2001,21.3,14-Apr,21.3,14-Apr,19-May,0.61,35,5,100.5,9/23/01 0:00,4.5,1/5/01 0:00,275,5/19/01 0:00,4/14/01 0:00,2/16/01 0:00,0.1,8/13/01 0:00,14.1,-0.85
normal,2002,59.4,30-Mar,50.9,9-May,18-Jun,1.49,40,5,164.3,11/4/02 0:00,4.2,2/22/02 0:00,806,6/18/02 0:00,3/30/02 0:00,3/20/02 0:00,0.1,8/29/02 0:00,12.9,1.27
warm,2003,15.6,31-Dec,11,8-Apr,13-May,0.45,35,6,111.3,9/4/03 0:00,3.1,1/26/03 0:00,806,5/13/03 0:00,4/8/03 0:00,3/7/03 0:00,1.1,7/31/03 0:00,15.8,0.28
normal,2004,36,7-Mar,30.7,3-Apr,3-May,1.20,30,5,158.7,8/20/04 0:00,3.9,11/18/03 0:00,1220,5/3/04 0:00,3/7/04 0:00,1/5/04 0:00,0.1,7/24/04 0:00,15.7,2.8
normal,2005,8.1,13-Dec,5.6,18-Apr,27-Apr,0.90,9,7,127,9/28/05 0:00,2.96,1/18/05 0:00,1500,5/1/05 0:00,4/16/05 0:00,1/15/05 0:00,0,8/15/05 0:00,14.2,1.39
normal,2006,40.5,18-Apr,40.5,18-Apr,21-May,1.23,33,3,127.7,9/7/06 0:00,2.53,12/24/05 0:00,607,5/21/06 0:00,4/18/06 0:00,2/17/06 0:00,0,7/23/06 0:00,15.1,1.42
warm,2007,32.7,1-Mar,22.5,19-Apr,12-May,1.42,23,4,152.3,9/14/07 0:00,6.26,11/6/06 0:00,1350,5/12/07 0:00,3/1/07 0:00,12/29/06 0:00,1.2,7/11/07 0:00,13.7,-0.23
cold,2008,85.7,29-Apr,82.5,14-May,4-Jul,1.68,51,1,159.3,9/19/08 0:00,7.32,12/3/07 0:00,607,7/4/08 0:00,4/29/08 0:00,12/2/07 0:00,0,8/17/08 0:00,13,0.86
cold,2009,64.3,18-Apr,61.3,2-May,8-Jun,1.74,37,1,160.4,9/2/09 0:00,3.19,1/7/09 0:00,1240,6/8/09 0:00,4/18/09 0:00,12/15/08 0:00,0,7/30/09 0:00,15.6,2.04
w,2010,11.7,10-Apr,9.4,6-May,18-May,0.98,12,8,142.9,8/25/10 0:00,4.64,11/17/09 0:00,269,5/18/10 0:00,4/10/10 0:00,12/8/09 0:00,0,8/16/10 0:00,14.6,0.15
cold,2011,45.8,4-May,45.1,8-May,22-Jun,1.02,45,1,182.5,9/14/11 0:00,5.46,12/12/10 0:00,1160,6/22/11 0:00,5/4/11 0:00,1/12/11 0:00,0,9/11/11 0:00,12.1,0.84
cold,2012,60.5,9-Apr,57.2,20-Apr,13-Jun,1.12,54,2,155.1,9/8/12 0:00,3.16,12/28/11 0:00,654,6/13/12 0:00,4/8/12 0:00,1/17/12 0:00,0,8/17/12 0:00,14.2,0.36
normal,2013,55.4,29-Mar,53.5,20-Apr,4-Jun,1.23,45,6,170.6,8/23/13 0:00,2.86,4/5/13 0:00,524,6/4/13 0:00,3/29/13 0:00,1/3/13 0:00,0.4,8/10/13 0:00,14.1,0.72
normal,2014,35.9,6-Apr,31,24-Apr,23-May,1.24,29,3,158.1,9/17/14 0:00,3.94,3/9/14 0:00,753,5/23/14 0:00,4/6/14 0:00,12/7/13 0:00,0,8/12/14 0:00,14.9,3.75
normal,2015,14.5,31-Dec,4,16-Jan,29-Jan,1.12,13,3,130.7,8/27/15 0:00,3.04,1/5/15 0:00,1140,5/1/15 0:00,1/5/15 0:00,12/30/14 0:00,1.5,7/3/15 0:00,16.9,1.91
warn,2016,24.9,30-Dec,21.8,25-Mar,24-Apr,0.83,30,5,168.9,8/30/16 0:00,4.18,11/13/15 0:00,1120,5/1/16 0:00,3/29/16 0:00,12/24/15 0:00,0.6,8/19/16 0:00,14.5,-1.05
normal,2017,43,10-Mar,41.7,12-Apr,3-Jun,0.83,52,5,155.5,9/6/17 0:00,2.52,3/15/17 0:00,574,6/3/17 0:00,3/10/17 0:00,1/7/17 0:00,0.2,8/9/17 0:00,15.1,1.24
cold,2018,50.5,23-Apr,50.5,23-Apr,15-Jun,0.95,53,3,172.1,9/7/18 0:00,3.79,11/23/17 0:00,754,5/29/18 0:00,4/23/18 0:00,2/25/18 0:00,0.4,nan,nan,0.26
