DateTime, Max, Min, Avg
10/1/1979,58.3,40.4,48.95
10/2/1979,77.3,35.6,56.3
10/3/1979,60.3,35.6,48.558
10/4/1979,62.3,39.6,50.596
10/5/1979,62.3,36.6,49.575
10/6/1979,56.3,37.6,47.458
10/7/1979,46.3,40.2,43.704
10/8/1979,67.3,38.6,52.663
10/9/1979,68.3,37.6,52.617
10/10/1979,61.3,34.6,48.013
10/11/1979,57.3,34.6,45.988
10/12/1979,47.3,34.6,41.942
10/13/1979,52.3,42.6,47.75
10/14/1979,55.3,45.6,50.204
10/15/1979,53.3,39.3,47.575
10/16/1979,53.3,35.6,44.454
10/17/1979,42.3,35.6,39.275
10/18/1979,46.3,37.1,41.583
10/19/1979,48.3,34.6,41.442
10/20/1979,53.3,34.6,44.025
10/21/1979,48.3,35.6,42.671
10/22/1979,57.3,40.2,48.704
10/23/1979,55.3,35.6,46.596
10/24/1979,56.3,45.6,50.729
10/25/1979,53.3,43.6,48.475
10/26/1979,53.3,38.5,47.446
10/27/1979,46.3,34.6,40.633
10/28/1979,50.3,35.6,42.808
10/29/1979,48.3,29.6,40.35
10/30/1979,48.3,24.6,36.346
10/31/1979,52.2,23.6,38.042
11/1/1979,47.2,25.1,37.554
11/2/1979,49.2,37.1,43.142
11/3/1979,49.2,37.1,43.279
11/4/1979,49.2,34.1,42.758
11/5/1979,57.2,30.1,42.929
11/6/1979,50.2,24.1,37.108
11/7/1979,42.2,23.1,32.508
11/8/1979,45.2,21.1,33.25
11/9/1979,38.2,22.1,30.333
11/10/1979,39.2,23.1,31.042
11/11/1979,36.2,22.1,29.079
11/12/1979,45.2,21.1,33.092
11/13/1979,56.2,21.1,41.158
11/14/1979,54.2,41.5,48.5
11/15/1979,43.2,38.1,40.642
11/16/1979,46.2,31.9,40.621
11/17/1979,38.2,28.1,33.113
11/18/1979,43.2,24.2,34.217
11/19/1979,44.2,19.1,31.658
11/20/1979,45.2,19.1,33.725
11/21/1979,38.2,32.6,35.504
11/22/1979,40.2,29.9,35.2
11/23/1979,35.2,27.1,31.088
11/24/1979,37.2,26.1,31.533
11/25/1979,31.2,22.4,27.65
11/26/1979,36.2,20.1,28.113
11/27/1979,40.2,20.1,31.696
11/28/1979,38.2,31,35.613
11/29/1979,37.2,29.1,33.054
11/30/1979,40.4,28.1,33.95
12/1/1979,42.4,25.6,34.433
12/2/1979,54.4,29.6,42.575
12/3/1979,44.4,35.6,39.975
12/4/1979,40.4,34.6,37.65
12/5/1979,40.4,35.6,38
12/6/1979,40.4,32.7,37.433
12/7/1979,44.4,30.6,37.363
12/8/1979,46.4,28.4,37.308
12/9/1979,32.4,23.1,27.783
12/10/1979,34.4,20.6,27.938
12/11/1979,32.4,24.6,28.521
12/12/1979,42.4,24.6,34.204
12/13/1979,42.4,28.3,36.213
12/14/1979,32.4,24.6,28.583
12/15/1979,38.4,24.6,32.017
12/16/1979,48.4,29.6,39.6
12/17/1979,48.4,35.6,42.333
12/18/1979,42.4,37.8,40.329
12/19/1979,42.4,36.2,39.279
12/20/1979,36.4,26.3,34.317
12/21/1979,36.4,23.6,29.888
12/22/1979,36.4,22.6,30.404
12/23/1979,42.4,30.6,36.571
12/24/1979,40.4,31.6,36.021
12/25/1979,40.4,27.1,35.108
12/26/1979,46.4,23.6,35.85
12/27/1979,42.4,31.6,37.483
12/28/1979,44.4,35.6,39.988
12/29/1979,42.4,35.6,38.908
12/30/1979,42.4,34.6,38.5
12/31/1979,45,34.6,39.717
1/1/1980,39,27.2,35.454
1/2/1980,39,24,31.3
1/3/1980,29,22,25.592
1/4/1980,28,16.9,24.108
1/5/1980,27,14,20.3
1/6/1980,23,12,17.996
1/7/1980,22,16,19.008
1/8/1980,24,16,19.983
1/9/1980,31,16,23.913
1/10/1980,44,20,32.342
1/11/1980,45,24,34.5
1/12/1980,31,24,27.625
1/13/1980,36,24,30.183
1/14/1980,41,26,33.488
1/15/1980,36,26,31.046
1/16/1980,31,19.2,27.446
1/17/1980,26,14.9,20.596
1/18/1980,36,12,24.142
1/19/1980,36,14,25.9
1/20/1980,37,22,29.288
1/21/1980,45,20,32.463
1/22/1980,41,20,30.546
1/23/1980,36,20,28.717
1/24/1980,30,18.9,26.925
1/25/1980,23,9.6,18.442
1/26/1980,24,6,14.992
1/27/1980,24,6,14.775
1/28/1980,27,4,15.267
1/29/1980,31,2,18.275
1/30/1980,32,18,25.446
1/31/1980,40.9,22,31.913
2/1/1980,40.9,26.7,34.25
2/2/1980,44.9,27.4,36.863
2/3/1980,44.9,22.7,33.921
2/4/1980,46.9,23.7,36.179
2/5/1980,38.9,31.7,35.258
2/6/1980,41.9,29.1,35.725
2/7/1980,46.9,25.7,36.267
2/8/1980,45.9,25.7,35.242
2/9/1980,39.9,20.7,30.133
2/10/1980,39.9,18.7,29.188
2/11/1980,33.9,17.7,25.863
2/12/1980,35.9,17.7,27.238
2/13/1980,28.9,19.3,24.792
2/14/1980,33.9,16.7,25.6
2/15/1980,43.9,19.7,32.95
2/16/1980,43.9,30.7,37.867
