DateTime	 Max	 Min	 Avg
10/1/79	58.3	41.2	49.496
10/2/79	77.3	36.7	56.846
10/3/79	60.3	36.7	49.092
10/4/79	62.3	40.7	51.158
10/5/79	62.3	37.7	50.117
10/6/79	56.3	38.7	48
10/7/79	46.3	41.1	44.246
10/8/79	67.3	39.7	53.213
10/9/79	68.3	38.7	53.163
10/10/79	61.3	35.7	48.563
10/11/79	57.3	35.7	46.542
10/12/79	47.3	35.7	42.492
10/13/79	52.3	43.7	48.296
10/14/79	55.3	46.7	50.754
10/15/79	53.3	40.2	48.117
10/16/79	53.3	36.7	45
10/17/79	42.3	36.7	39.821
10/18/79	46.3	37.9	42.129
10/19/79	48.3	35.7	41.992
10/20/79	53.3	35.7	44.571
10/21/79	48.3	36.7	43.221
10/22/79	57.3	41	49.258
10/23/79	55.3	36.7	47.142
10/24/79	56.3	46.7	51.271
10/25/79	53.3	44.7	49.029
10/26/79	53.3	39.4	47.988
10/27/79	46.3	35.7	41.171
10/28/79	50.3	36.7	43.363
10/29/79	48.3	30.5	40.9
10/30/79	48.3	25.7	36.892
10/31/79	52.7	24.7	38.854
11/1/79	47.7	26.4	38.45
11/2/79	49.7	38.4	44.037
11/3/79	49.7	38.4	44.171
11/4/79	49.7	35.2	43.654
11/5/79	57.7	31.4	43.813
11/6/79	50.7	25.4	38.004
11/7/79	42.7	24.4	33.404
11/8/79	45.7	22.4	34.137
11/9/79	38.7	23.4	31.233
11/10/79	39.7	24.4	31.933
11/11/79	36.7	23.4	29.971
11/12/79	45.7	22.4	33.975
11/13/79	56.7	22.4	42.05
11/14/79	54.7	42.6	49.404
11/15/79	43.7	39.4	41.537
11/16/79	46.7	33	41.521
11/17/79	38.7	29.4	34.017
11/18/79	43.7	25.3	35.113
11/19/79	44.7	20.4	32.55
11/20/79	45.7	20.4	34.621
11/21/79	38.7	33.7	36.388
11/22/79	40.7	31	36.092
11/23/79	35.7	28.4	31.988
11/24/79	37.7	27.4	32.425
11/25/79	31.7	23.6	28.55
11/26/79	36.7	21.4	29.017
11/27/79	40.7	21.4	32.604
11/28/79	38.7	32.1	36.513
11/29/79	37.7	30.4	33.954
11/30/79	42.1	29.4	35.433
12/1/79	44.1	26.9	35.933
12/2/79	56.1	30.9	44.075
12/3/79	46.1	36.9	41.475
12/4/79	42.1	35.9	39.146
12/5/79	42.1	36.9	39.5
12/6/79	42.1	34	38.942
12/7/79	46.1	31.9	38.85
12/8/79	48.1	29.8	38.808
12/9/79	34.1	24.5	29.279
12/10/79	36.1	21.9	29.438
12/11/79	34.1	25.9	30.021
12/12/79	44.1	25.9	35.717
12/13/79	44.1	29.7	37.717
12/14/79	34.1	25.9	30.092
12/15/79	40.1	25.9	33.513
12/16/79	50.1	30.9	41.092
12/17/79	50.1	36.9	43.842
12/18/79	44.1	39.2	41.829
12/19/79	44.1	37.6	40.779
12/20/79	38.1	27.7	35.813
12/21/79	38.1	24.9	31.392
12/22/79	38.1	23.9	31.904
12/23/79	44.1	31.9	38.067
12/24/79	42.1	32.9	37.513
12/25/79	42.1	28.5	36.6
12/26/79	48.1	24.9	37.35
12/27/79	44.1	32.9	38.988
12/28/79	46.1	36.9	41.483
12/29/79	44.1	36.9	40.408
12/30/79	44.1	35.9	40.008
12/31/79	46.5	35.9	41.063
1/1/80	40.5	28.1	36.579
1/2/80	40.5	24.8	32.433
1/3/80	30.5	22.8	26.738
1/4/80	29.5	17.9	25.267
1/5/80	28.5	14.8	21.433
1/6/80	24.5	12.8	19.146
1/7/80	23.5	16.8	20.163
1/8/80	25.5	16.8	21.138
1/9/80	32.5	16.8	25.046
1/10/80	45.5	20.8	33.508
1/11/80	46.5	24.8	35.65
1/12/80	32.5	24.8	28.775
1/13/80	37.5	24.8	31.342
1/14/80	42.5	26.8	34.608
1/15/80	37.5	26.8	32.208
1/16/80	32.5	20.1	28.567
1/17/80	27.5	15.9	21.758
1/18/80	37.5	12.8	25.3
1/19/80	37.5	14.8	27.058
1/20/80	38.5	22.8	30.421
1/21/80	46.5	20.8	33.583
1/22/80	42.5	20.8	31.696
1/23/80	37.5	20.8	29.879
1/24/80	31.5	19.9	28.088
1/25/80	24.5	10.5	19.588
1/26/80	25.5	6.8	16.146
1/27/80	25.5	6.8	15.933
1/28/80	28.5	4.8	16.4
1/29/80	32.5	2.8	19.425
1/30/80	33.5	18.8	26.604
1/31/80	42.9	22.8	33.371
2/1/80	42.9	28.1	35.95
2/2/80	46.9	28.9	38.567
2/3/80	46.9	24.1	35.613
2/4/80	48.9	25.1	37.888
2/5/80	40.9	33.1	36.958
2/6/80	43.9	30.6	37.421
2/7/80	48.9	27.1	37.963
2/8/80	47.9	27.1	36.946
2/9/80	41.9	22.1	31.829
2/10/80	41.9	20.1	30.896
2/11/80	35.9	19.1	27.55
2/12/80	37.9	19.1	28.938
2/13/80	30.9	20.8	26.496
2/14/80	35.9	18.1	27.296
2/15/80	45.9	21.1	34.654
2/16/80	45.9	32.1	39.571
2/17/80	44.9	37.1	40.9
2/18/80	48.9	35.6	42.021
2/19/80	39.9	25.8	34.95
2/20/80	45.9	22.1	33.954
2/21/80	53.9	22.1	37.829
2/22/80	53.9	21.1	37.833
2/23/80	51.9	24.1	39.933
2/24/80	52.9	41.1	46.883
2/25/80	48.9	40.1	44.65
2/26/80	51.9	41	46.138
2/27/80	49.9	36.6	43.463
2/28/80	51.9	33.1	42.713
2/29/80	57.7	35.1	46.713
3/1/80	57.7	38.3	47.446
3/2/80	41.7	33.3	37.638
3/3/80	44.7	30.2	38.192
3/4/80	45.7	26.3	35.767
3/5/80	46.7	24.3	35.721
3/6/80	44.7	26.3	36.083
3/7/80	44.7	31.3	37.896
3/8/80	41.7	30.3	36.246
3/9/80	44.7	27.8	37.463
3/10/80	38.7	23.3	31.054
3/11/80	39.7	23.3	32.058
3/12/80	42.7	28.3	35.146
3/13/80	38.7	25.3	31.808
3/14/80	38.7	23.3	31.233
3/15/80	42.7	25.3	34.317
3/16/80	42.7	28.3	35.275
3/17/80	42.7	26.3	34.838
3/18/80	45.7	29.3	37.708
3/19/80	43.7	31.3	37.625
3/20/80	41.7	29.5	36.342
3/21/80	44.7	26.3	35.821
3/22/80	44.7	28.6	36.45
3/23/80	46.7	24.3	35.033
3/24/80	54.7	20.3	37.892
3/25/80	44.7	24.3	35.038
3/26/80	47.7	28.3	37.867
3/27/80	51.7	27.3	40.15
3/28/80	38.7	28.1	35.213
3/29/80	48.7	25.3	37.142
3/30/80	40.7	27.3	34.179
3/31/80	48.9	27.4	37.788
4/1/80	56.9	21.7	39.458
4/2/80	58.9	23.7	42.183
4/3/80	59.9	31.7	46.029
4/4/80	53.9	33.2	43.179
4/5/80	44.9	27.7	36.492
4/6/80	49.9	28.7	39.483
4/7/80	55.9	30.7	43.588
4/8/80	46.9	33.7	40.15
4/9/80	51.9	29.6	40.863
4/10/80	64.9	23.7	44.767
4/11/80	72.9	28.7	52.533
4/12/80	72.9	44.7	58.133
4/13/80	55.9	38.7	47.213
4/14/80	53.9	30.8	43.967
4/15/80	65.9	24.7	45.654
4/16/80	54.9	28.7	43.029
4/17/80	59.9	38.7	49.708
4/18/80	53.9	38.7	47.454
4/19/80	44.9	34.7	39.65
4/20/80	54.9	32.7	43.379
4/21/80	56.9	29.7	43.404
4/22/80	59.9	30.7	46.058
4/23/80	55.9	35.2	45.946
4/24/80	58.9	29.7	45.058
4/25/80	63.9	36.7	49.925
4/26/80	70.9	33.7	52.688
4/27/80	57.9	37.7	47.463
4/28/80	52.9	30.6	42.329
4/29/80	59.9	24.7	42.917
4/30/80	69.4	30.7	50.825
5/1/80	52.4	31.7	44.096
5/2/80	62.4	26.2	44.896
5/3/80	72.4	32.2	52.671
5/4/80	58.4	36.2	47.867
5/5/80	55.4	38.7	47.158
5/6/80	59.4	34.2	46.988
5/7/80	55.4	36.2	46.058
5/8/80	55.4	38.2	46.8
5/9/80	61.4	38.2	49.525
5/10/80	63.4	36.2	50.233
5/11/80	58.4	40.2	49.35
5/12/80	53.4	40.2	46.842
5/13/80	51.4	39.4	45.371
5/14/80	53.4	35.1	44.108
5/15/80	53.4	30.2	42.475
5/16/80	63.4	36.2	49.717
5/17/80	66.4	36.2	51.733
5/18/80	56.4	40.2	48.392
5/19/80	49.4	40.2	45.079
5/20/80	52.4	39.6	46.608
5/21/80	49.4	35.8	42.371
5/22/80	53.4	32.2	42.779
5/23/80	50.4	32.2	41.779
5/24/80	44.4	36.2	40.583
5/25/80	44.4	38.2	41.308
5/26/80	47.4	38.2	42.996
5/27/80	55.4	40.2	47.508
5/28/80	49.4	38.2	44.079
5/29/80	55.4	40.2	47.525
5/30/80	62.4	38.2	50.246
5/31/80	49.6	38.2	43.875
6/1/80	51.6	37	44.517
6/2/80	57.6	39	47.804
6/3/80	57.6	35	46.867
6/4/80	47.6	40	43.883
6/5/80	55.6	40	47.738
6/6/80	69.6	40	55.029
6/7/80	65.6	43	54.675
6/8/80	59.6	46	52.746
6/9/80	59.6	45	52.308
6/10/80	57.6	45	51.433
6/11/80	53.6	46	49.613
6/12/80	53.6	44	48.808
6/13/80	53.6	44	49.033
6/14/80	59.6	46	52.642
6/15/80	57.6	45	51.433
6/16/80	59.6	40.2	51.554
6/17/80	63.6	35	49.604
6/18/80	67.6	38	53.45
6/19/80	67.6	44	56.025
6/20/80	61.6	46	53.975
