DateTime	 Max	 Min	 Avg
10/1/79	61	44.4	52.504
10/2/79	80	40	59.842
10/3/79	63	40	52.096
10/4/79	65	44	54.154
10/5/79	65	41	53.113
10/6/79	59	42	51.008
10/7/79	49	44.3	47.254
10/8/79	70	43	56.217
10/9/79	71	42	56.158
10/10/79	64	39	51.588
10/11/79	60	39	49.546
10/12/79	50	39	45.488
10/13/79	55	47	51.313
10/14/79	58	50	53.754
10/15/79	56	43.4	51.117
10/16/79	56	40	48
10/17/79	45	40	42.833
10/18/79	49	41.1	45.138
10/19/79	51	39	44.983
10/20/79	56	39	47.575
10/21/79	51	40	46.233
10/22/79	60	44.2	52.254
10/23/79	58	40	50.142
10/24/79	59	50	54.275
10/25/79	56	48	52.025
10/26/79	56	42.6	50.992
10/27/79	49	39	44.171
10/28/79	53	40	46.363
10/29/79	51	33.6	43.892
10/30/79	51	29	39.888
10/31/79	56	28	42.188
11/1/79	51	30	41.896
11/2/79	53	42	47.496
11/3/79	53	42	47.617
11/4/79	53	38.8	47.1
11/5/79	61	35	47.258
11/6/79	54	29	41.463
11/7/79	46	28	36.842
11/8/79	49	26	37.592
11/9/79	42	27	34.688
11/10/79	43	28	35.396
11/11/79	40	27	33.417
11/12/79	49	26	37.429
11/13/79	60	26	45.504
11/14/79	58	46.2	52.858
11/15/79	47	43	44.996
11/16/79	50	36.6	44.971
11/17/79	42	33	37.458
11/18/79	47	28.8	38.575
11/19/79	48	24	35.996
11/20/79	49	24	38.088
11/21/79	42	37.3	39.833
11/22/79	44	34.5	39.533
11/23/79	39	32	35.433
11/24/79	41	31	35.875
11/25/79	35	27.1	32.004
11/26/79	40	25	32.488
11/27/79	44	25	36.063
11/28/79	42	35.7	39.963
11/29/79	41	34	37.4
11/30/79	44	32.9	38.142
12/1/79	46	30	38.433
12/2/79	58	34	46.575
12/3/79	48	40	43.971
12/4/79	44	39	41.667
12/5/79	44	40	42
12/6/79	44	36.9	41.438
12/7/79	48	35	41.363
12/8/79	50	32.6	41.308
12/9/79	36	27.3	31.783
12/10/79	38	25	31.938
12/11/79	36	29	32.529
12/12/79	46	29	38.208
12/13/79	46	32.6	40.217
12/14/79	36	29	32.592
12/15/79	42	29	36.017
12/16/79	52	34	43.592
12/17/79	52	40	46.338
12/18/79	46	42.1	44.346
12/19/79	46	40.5	43.3
12/20/79	40	30.5	38.317
12/21/79	40	28	33.888
12/22/79	40	27	34.421
12/23/79	46	35	40.571
12/24/79	44	36	40.017
12/25/79	44	31.4	39.1
12/26/79	50	28	39.85
12/27/79	46	36	41.483
12/28/79	48	40	43.983
12/29/79	46	40	42.908
12/30/79	46	39	42.508
12/31/79	48	39	43.375
1/1/80	42	30.9	38.925
1/2/80	42	28	34.775
1/3/80	32	26	29.083
1/4/80	31	20.7	27.625
1/5/80	30	18	23.788
1/6/80	26	16	21.483
1/7/80	25	20	22.538
1/8/80	27	20	23.496
1/9/80	34	20	27.392
1/10/80	47	24	35.846
1/11/80	48	28	37.996
1/12/80	34	28	31.117
1/13/80	39	28	33.688
1/14/80	44	30	36.963
1/15/80	39	30	34.546
1/16/80	34	22.9	30.921
1/17/80	29	18.7	24.096
1/18/80	39	16	27.654
1/19/80	39	18	29.404
1/20/80	40	26	32.771
1/21/80	48	24	35.933
1/22/80	44	24	34.033
1/23/80	39	24	32.233
1/24/80	33	22.7	30.433
1/25/80	26	13.4	21.938
1/26/80	27	10	18.5
1/27/80	27	10	18.279
